종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
000020,동화약품,KOSPI,6490.0,-1.67,62493.0,181275240300.0
000040,KR모터스,KOSPI,429.0,-1.83,225948.0,25797000372.0
000050,경방,KOSPI,7520.0,2.87,310423.0,206162830400.0
000070,삼양홀딩스,KOSPI,78800.0,7.21,149807.0,684753245600.0
000075,삼양홀딩스우,KOSPI,77000.0,7.54,4137.0,13749659000.0
000080,하이트진로,KOSPI,19840.0,-1.78,174460.0,1391450842240.0
000087,하이트진로2우B,KOSPI,15560.0,-0.06,2316.0,17584947280.0
000100,유한양행,KOSPI,104000.0,-0.29,235960.0,8341742656000.0
000105,유한양행우,KOSPI,99100.0,0.2,3188.0,117031154000.0
000120,CJ대한통운,KOSPI,79900.0,-0.62,47431.0,1822706285600.0
000140,하이트진로홀딩스,KOSPI,9170.0,-1.5,33024.0,212806035050.0
000145,하이트진로홀딩스우,KOSPI,10930.0,-0.09,121.0,5145953300.0
000150,두산,KOSPI,486500.0,-0.31,178259.0,8038845727500.0
000155,두산우,KOSPI,323500.0,-1.22,63430.0,1292855457000.0
000157,두산2우B,KOSPI,346000.0,-2.54,8858.0,308991148000.0
000180,성창기업지주,KOSPI,1464.0,0.62,82263.0,102116342400.0
000210,DL,KOSPI,44400.0,0.34,96467.0,930441249600.0
000215,DL우,KOSPI,22550.0,0.67,1928.0,38021893250.0
000220,유유제약,KOSPI,4590.0,-0.54,49969.0,78178491090.0
000225,유유제약1우,KOSPI,5210.0,-0.38,14781.0,11810705300.0
000227,유유제약2우B,KOSPI,10410.0,0.58,2945.0,3389079600.0
000230,일동홀딩스,KOSPI,6690.0,-1.04,71375.0,77205276000.0
000240,한국앤컴퍼니,KOSPI,18740.0,-7.68,455707.0,1779086397600.0
000270,기아,KOSPI,88400.0,-1.12,663587.0,35154260668800.0
000300,DH오토넥스,KOSPI,1984.0,0.0,0.0,162944308992.0
000320,노루홀딩스,KOSPI,17700.0,-2.53,99922.0,235253372700.0
000325,노루홀딩스우,KOSPI,30550.0,-0.97,917.0,7440727450.0
000370,한화손해보험,KOSPI,4550.0,-0.66,330731.0,531162063250.0
000390,삼화페인트,KOSPI,5990.0,-0.66,20367.0,162948779310.0
000400,롯데손해보험,KOSPI,1635.0,-0.18,216637.0,507399883200.0
000430,대원강업,KOSPI,3720.0,0.4,24709.0,230640000000.0
000480,CR홀딩스,KOSPI,5350.0,0.38,5844.0,250864121500.0
000490,대동,KOSPI,10660.0,-1.48,94599.0,273473132400.0
000500,가온전선,KOSPI,72300.0,2.7,94480.0,1196067214500.0
000520,삼일제약,KOSPI,10900.0,-1.8,128752.0,236440739900.0
000540,흥국화재,KOSPI,4005.0,-4.64,242275.0,257291793225.0
000545,흥국화재우,KOSPI,7860.0,-2.24,18891.0,6036480000.0
000590,CS홀딩스,KOSPI,81900.0,-1.21,2533.0,94552075800.0
000640,동아쏘시오홀딩스,KOSPI,111900.0,0.0,9826.0,731426964600.0
000650,천일고속,KOSPI,40600.0,0.0,1412.0,58026332000.0
000660,SK하이닉스,KOSPI,207500.0,1.47,1775752.0,151060490737500.0
000670,영풍,KOSPI,39250.0,-1.75,51030.0,750006662500.0
000680,LS네트웍스,KOSPI,3630.0,0.28,262413.0,286054948080.0
000700,유수홀딩스,KOSPI,5990.0,-0.99,20740.0,155990453880.0
000720,현대건설,KOSPI,65700.0,2.98,2257010.0,7316073760500.0
000725,현대건설우,KOSPI,61600.0,0.49,8122.0,64969088800.0
000760,이화산업,KOSPI,12590.0,4.31,6853.0,35252000000.0
000810,삼성화재,KOSPI,388000.0,-4.08,81302.0,17852328140000.0
000815,삼성화재우,KOSPI,286000.0,-3.05,19759.0,886459860000.0
000850,화천기공,KOSPI,31500.0,0.0,3204.0,69300000000.0
000860,강남제비스코,KOSPI,12260.0,-1.76,23349.0,159380000000.0
000880,한화,KOSPI,77200.0,2.25,857218.0,5786814342000.0
000885,한화우,KOSPI,47850.0,4.7,3231.0,9523729050.0
00088K,한화3우B,KOSPI,30400.0,1.5,227848.0,589895006400.0
000890,보해양조,KOSPI,531.0,-2.75,967929.0,73872788499.0
000910,유니온,KOSPI,4830.0,5.0,465926.0,75404119770.0
000950,전방,KOSPI,26250.0,-2.05,3973.0,44100000000.0
000970,한국주철관,KOSPI,6900.0,-2.4,157386.0,157323450000.0
000990,DB하이텍,KOSPI,42300.0,8.46,822558.0,1878060272400.0
001020,페이퍼코리아,KOSPI,729.0,0.55,5571.0,129749835177.0
001040,CJ,KOSPI,135400.0,-0.66,172406.0,3950565529200.0
001045,CJ우,KOSPI,77800.0,-0.26,7928.0,175845349400.0
00104K,CJ4우(전환),KOSPI,111500.0,0.0,10004.0,471256088000.0
001060,JW중외제약,KOSPI,22900.0,-1.29,36416.0,533247797000.0
001065,JW중외제약우,KOSPI,28900.0,-0.17,125.0,9882383900.0
001067,JW중외제약2우B,KOSPI,63700.0,1.11,60.0,13375280100.0
001070,대한방직,KOSPI,6390.0,0.31,14711.0,33867000000.0
001080,만호제강,KOSPI,28000.0,1.45,5491.0,116200000000.0
001120,LX인터내셔널,KOSPI,28050.0,-0.88,126505.0,1087218000000.0
001130,대한제분,KOSPI,144800.0,1.97,7155.0,244712000000.0
001140,국보,KOSPI,2110.0,0.0,0.0,33456978680.0
001200,유진투자증권,KOSPI,3340.0,-0.74,1373665.0,323533836120.0
001210,금호전기,KOSPI,1145.0,3.53,329823.0,70479326565.0
001230,동국홀딩스,KOSPI,7940.0,-0.75,100761.0,252495835020.0
001250,GS글로벌,KOSPI,2610.0,-0.57,301973.0,215413124040.0
001260,남광토건,KOSPI,8750.0,-1.69,35242.0,86035005000.0
001270,부국증권,KOSPI,34400.0,-6.9,32381.0,356724078400.0
001275,부국증권우,KOSPI,23100.0,-2.94,7031.0,69300000000.0
001290,상상인증권,KOSPI,773.0,9.8,17757257.0,83744593760.0
001340,PKC,KOSPI,5690.0,0.53,65908.0,255585735830.0
001360,삼성제약,KOSPI,1614.0,-0.19,216205.0,151977595506.0
001380,SG글로벌,KOSPI,1799.0,1.07,144038.0,80890493257.0
001390,KG케미칼,KOSPI,4395.0,-0.45,291269.0,300921430800.0
001420,태원물산,KOSPI,3955.0,-1.13,8179.0,30058000000.0
001430,세아베스틸지주,KOSPI,22700.0,-2.99,246919.0,814070101300.0
001440,대한전선,KOSPI,12640.0,-1.1,514500.0,2356693872000.0
001450,현대해상,KOSPI,23950.0,-1.64,486933.0,2141130000000.0
001460,BYC,KOSPI,36800.0,2.79,4083.0,229858320000.0
001465,BYC우,KOSPI,15790.0,1.81,4433.0,34009291500.0
001470,삼부토건,KOSPI,347.0,0.0,0.0,79699592928.0
001500,현대차증권,KOSPI,6970.0,-2.52,479080.0,430976316680.0
001510,SK증권,KOSPI,591.0,1.37,6723833.0,279300791061.0
001515,SK증권우,KOSPI,1902.0,1.28,12316.0,7441601628.0
001520,동양,KOSPI,605.0,0.83,538252.0,144403858115.0
001525,동양우,KOSPI,4240.0,4.18,1307.0,2619179440.0
001527,동양2우B,KOSPI,8390.0,-0.24,243.0,2588893910.0
001530,DI동일,KOSPI,33800.0,1.5,31153.0,687293796800.0
001550,조비,KOSPI,12770.0,1.35,24939.0,66304892030.0
001560,제일연마,KOSPI,9580.0,-2.24,9582.0,94842000000.0
001570,금양,KOSPI,9900.0,0.0,0.0,633275240400.0
001620,케이비아이동국실업,KOSPI,488.0,1.88,121320.0,54310999128.0
001630,종근당홀딩스,KOSPI,52400.0,-1.13,4554.0,262516716400.0
001680,대상,KOSPI,21700.0,0.0,82688.0,751862142500.0
001685,대상우,KOSPI,16710.0,0.06,8982.0,22896426330.0
001720,신영증권,KOSPI,104600.0,-6.44,52960.0,1719624000000.0
001740,SK네트웍스,KOSPI,4095.0,-0.97,379666.0,906133008690.0
001750,한양증권,KOSPI,15700.0,-2.85,62726.0,199837983800.0
001755,한양증권우,KOSPI,15610.0,-2.68,5198.0,8195250000.0
001770,SHD,KOSPI,17220.0,2.26,5643.0,20920199160.0
001780,알루코,KOSPI,2245.0,-0.44,257121.0,217383646340.0
001790,대한제당,KOSPI,2845.0,-1.04,729259.0,255186770100.0
001795,대한제당우,KOSPI,2380.0,0.63,97900.0,15428968800.0
001800,오리온홀딩스,KOSPI,18680.0,-1.16,104959.0,1170216482960.0
001820,삼화콘덴서,KOSPI,24300.0,-1.42,31549.0,252598500000.0
001940,KISCO홀딩스,KOSPI,23450.0,-2.7,20301.0,332436111000.0
002020,코오롱,KOSPI,34000.0,-2.58,496823.0,429298484000.0
002025,코오롱우,KOSPI,17790.0,1.25,33144.0,19148978100.0
002030,아세아,KOSPI,284500.0,-0.7,4943.0,592937830000.0
002070,비비안,KOSPI,960.0,-3.52,486720.0,29878825920.0
002100,경농,KOSPI,9550.0,1.7,69637.0,186440591250.0
002140,고려산업,KOSPI,2730.0,-0.73,55659.0,68084630250.0
002150,도화엔지니어링,KOSPI,6610.0,0.15,21211.0,222889200000.0
002170,삼양통상,KOSPI,50100.0,-4.75,6059.0,150300000000.0
002200,한국수출포장,KOSPI,2945.0,0.0,126029.0,117800000000.0
002210,동성제약,KOSPI,2780.0,0.0,0.0,74002229460.0
002220,한일철강,KOSPI,2050.0,2.24,47015.0,54729793000.0
002240,고려제강,KOSPI,17410.0,-0.57,20720.0,470070000000.0
002310,아세아제지,KOSPI,7430.0,2.91,331607.0,309329549300.0
002320,한진,KOSPI,20200.0,-0.98,28655.0,301942085600.0
002350,넥센타이어,KOSPI,6740.0,0.45,514905.0,658281490980.0
002355,넥센타이어1우B,KOSPI,3075.0,-2.38,101788.0,19987500000.0
002360,SH에너지화학,KOSPI,435.0,-2.03,380117.0,48343172550.0
002380,KCC,KOSPI,302000.0,-1.79,23864.0,2683714242000.0
002390,한독,KOSPI,11580.0,0.26,7687.0,159381712140.0
002410,범양건영,KOSPI,1935.0,0.0,0.0,53173451700.0
002420,세기상사,KOSPI,5210.0,3.78,7937.0,31103429080.0
002450,삼익악기,KOSPI,1256.0,-0.24,146977.0,113706829240.0
002460,HS화성,KOSPI,10530.0,1.84,11206.0,106879500000.0
002600,조흥,KOSPI,157300.0,1.03,32.0,94380000000.0
002620,제일파마홀딩스,KOSPI,8170.0,-0.97,7609.0,130502310350.0
002630,오리엔트바이오,KOSPI,1118.0,-5.17,7291379.0,132575799590.0
002690,동일제강,KOSPI,1558.0,0.65,25850.0,31627960880.0
002700,신일전자,KOSPI,1498.0,-0.6,353145.0,106429186458.0
002710,TCC스틸,KOSPI,17030.0,-1.79,85714.0,446419259910.0
002720,국제약품,KOSPI,4870.0,-0.61,107869.0,103048381840.0
002760,보락,KOSPI,1068.0,-0.65,86465.0,63973200000.0
002780,진흥기업,KOSPI,766.0,0.79,485894.0,111431356670.0
002785,진흥기업우B,KOSPI,3530.0,0.0,484.0,3025979540.0
002787,진흥기업2우B,KOSPI,7870.0,0.64,1294.0,2320138960.0
